#,RunNo,RunDes,Verb,NEvents,NStart,Ped,Clus,Sel,DoAlig,AnaAli,TraAna,Ntries,Status,Correction
#,,,,,,,,,,,,,,
#T15-33,,,,,,,,,,,,,,
,13003,0,0,2000000,0,1,1,1,1,0,1,0,0,1
,13004,0,0,2000000,0,1,1,1,1,0,1,0,0,1
,13008,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,13009,0,0,2500000,0,1,1,1,1,0,1,0,0,1
,14111,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,14114,0,0,500000,0,1,1,1,1,0,1,0,0,1
#,,,,,,,,,,,,,,
#T15-43,,,,,,,,,,,,,,
,14022,0,0,2000000,0,1,1,1,1,0,1,0,0,1
,14024,0,0,2000000,0,1,1,1,1,0,1,0,0,1
,14102,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,14103,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,14107,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,14108,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,16003,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,16007,0,0,1000000,0,1,1,1,1,0,1,0,0,1
