#,RunNo,RunDes,Verb,NEvents,NStart,Ped,Clus,Sel,DoAlig,AnaAli,TraAna,Ntries,Status,Correction
#,,,,,,,,,,,,,,
#L114-13,,,,,,,,,,,,,,
,15004,right,0,1000000,0,1,1,1,1,0,1,0,0,1
,15005,right,0,1000000,0,1,1,1,1,0,1,0,0,1
,15011,right,0,1000000,0,1,1,1,1,0,1,0,0,1
,15012,right,0,1000000,0,1,1,1,1,0,1,0,0,1
#,,,,,,,,,,,,,,
#L107-11,,,,,,,,,,,,,,
,15104,0,0,250000,0,1,1,1,1,0,1,0,0,1
,16009,right,0,800000,0,1,1,1,1,0,1,0,0,1
,16011,right,0,800000,0,1,1,1,1,0,1,0,0,1
#,,,,,,,,,,,,,,
#L107-10,,,,,,,,,,,,,,
,15004,left,0,1000000,0,1,1,1,1,0,1,0,0,1
,15005,left,0,1000000,0,1,1,1,1,0,1,0,0,1
,15011,left,0,1000000,0,1,1,1,1,0,1,0,0,1
,15012,left,0,1000000,0,1,1,1,1,0,1,0,0,1
,16009,left,0,800000,0,1,1,1,1,0,1,0,0,1
,16011,left,0,800000,0,1,1,1,1,0,1,0,0,1
