#,RunNo,RunDes,Verb,NEvents,NStart,Ped,Clus,Sel,DoAlig,AnaAli,TraAna,Ntries,Status,Correction
#,,,,,,,,,,,,,,
#PW205B,,,,,,,,,,,,,,
,16001,left,0,1000000,0,1,1,1,1,0,1,0,0,1
,16005,left,0,500000,0,1,1,1,1,0,1,0,0,1
,16303,left,0,1000000,0,1,1,1,1,0,1,0,0,1
,16307,left,0,1000000,0,1,1,1,1,0,1,0,0,1
,17101,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,17104,0,0,680000,0,1,1,1,1,0,1,0,0,1
,17208,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,17211,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,18003,0,0,2080000,0,1,1,1,1,0,1,0,0,1
,18004,0,0,160000,0,1,1,1,1,0,1,0,0,1
,18007,0,0,730000,0,1,1,1,1,0,1,0,0,1
,18008,0,0,830000,0,1,1,1,1,0,1,0,0,1
,19109,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,19113,0,0,650000,0,1,1,1,1,0,1,0,0,1
,23003,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,23005,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,23006,0,0,500000,0,1,1,1,1,0,1,0,0,1
,23007,0,0,500000,0,1,1,1,1,0,1,0,0,1
,23008,0,0,400000,0,1,1,1,1,0,1,0,0,1
,23107,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,23111,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,24007,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,24008,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,24009,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,24010,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,24011,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,24015,0,0,370000,0,1,1,1,1,0,1,0,0,1
,24016,0,0,370000,0,1,1,1,1,0,1,0,0,1
,24017,0,0,620000,0,1,1,1,1,0,1,0,0,1
,24018,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,25003,0,0,400000,0,1,1,1,1,0,1,0,0,1
,25004,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,25005,0,0,400000,0,1,1,1,1,0,1,0,0,1
,25006,0,0,1000000,0,1,1,1,1,0,1,0,0,1
