#,RunNo,RunDes,Verb,NEvents,NStart,Ped,Clus,Sel,DoAlig,AnaAli,TraAna,Ntries,Status,Correction
#,,,,,,,,,,,,,,
#S105,,,,,,,,,,,,,,
,20005,0,0,1000000,0,1,1,1,1,0,1,0,0,1
,20006,0,0,700000,0,1,1,1,1,0,1,0,0,1
,20013,0,0,400000,0,1,1,1,1,0,1,0,0,1
,20015,0,0,400000,0,1,1,1,1,0,1,0,0,1
,23100,0,0,100000,0,1,1,1,1,0,1,0,0,1
,23101,0,0,100000,0,1,1,1,1,0,1,0,0,1
,23102,0,0,400000,0,1,1,1,1,0,1,0,0,1
,23103,0,0,400000,0,1,1,1,1,0,1,0,0,1
,23112,0,0,400000,0,1,1,1,1,0,1,0,0,1
,23113,0,0,400000,0,1,1,1,1,0,1,0,0,1
