#,RunNo,RunDes,Verb,NEvents,NStart,Ped,Clus,Sel,DoAlig,AnaAli,TraAna,Ntries,Status,Correction
#,,,,,,,,,,,,,,
#L107-2,,,,,,,,,,,,,,
,15201,left,0,400000,0,1,1,1,0,0,0,0,0,0
,15204,left,0,1000000,0,1,1,1,0,0,0,0,0,0
,15206,left,0,400000,0,1,1,1,0,0,0,0,0,0
,15207,left,0,1000000,0,1,1,1,0,0,0,0,0,0
#,,,,,,,,,,,,,,
#L107-5,,,,,,,,,,,,,,
,15201,right,0,400000,0,1,1,1,0,0,0,0,0,0
,15204,right,0,1000000,0,1,1,1,0,0,0,0,0,0
,15206,right,0,400000,0,1,1,1,0,0,0,0,0,0
,15207,right,0,1000000,0,1,1,1,0,0,0,0,0,0
#,,,,,,,,,,,,,,
#LSC-1,,,,,,,,,,,,,,
,16000,right,0,400000,0,1,1,1,0,0,0,0,0,0
,16001,right,0,1000000,0,1,1,1,0,0,0,0,0,0
,16004,right,0,400000,0,1,1,1,0,0,0,0,0,0
,16005,right,0,500000,0,1,1,1,0,0,0,0,0,0
